context,answer
"There’s no question in my mind whatsoever that the energy storage problem can be solved with lithium ion batteries. Zero. I want to be clear. Zero. I think the bias will tend to be towards iron based lithium ion cells who, people might think, look, there must be a big constituent of the cells. It’s more like one to two percent of the cell is lithium. The main part of the cell is the cathode. The main mass and cost in the cell is the cathode. For high energy cells, for example what we use in most, most houses have have nickel based lithium-ion cells, which have higher energy density, longer range than iron based cells.","However, stationary storage, the energy density is not as important because it’s just sitting on the ground. And so I think the vast majority of stationary storage will be iron based lithium ion cells with an iron phosphate cathode, technically. But I think the phosphate part is unnecessary. It’s really just the iron or nickel. I’m misreading the terminology. Just think of it as iron and nickel, and there is an insane amount of iron in the world. More iron than we could possibly use. There’s also more lithium than we could possibly use. Basically, there is no shortage of anything whatsoever in iron phosphate lithium ion cells."
"Thank you very much. Let’s go through the next question from institutional investors, which is, you’ve suggested that between a five X to 10 X improvement is achievable in the automotive production versus the first model three line on the first principles physics analysis. Where does Berlin sit? Where does Berlin sit relative to that limit?","Oh, I think we’re so we’re so quite far away from it. I mean, the thing to bear in mind with production is, for those who have never done production, they just don’t understand how insanely hard production is. I want to really be very, very emphatic here. Prototypes are trivial. They’re child’s play. Production is hard. It is very hard. Now you say production at large-scale with higher liability and low cost, insanely difficult."
"Oh, I think we’re so we’re so quite far away from it. I mean, the thing to bear in mind with production is, for those who have never done production, they just don’t understand how insanely hard production is. I want to really be very, very emphatic here. Prototypes are trivial. They’re child’s play. Production is hard. It is very hard. Now you say production at large-scale with higher liability and low cost, insanely difficult.","What Tesla achieved on the automotive side was not to create an electric car. The truly profound thing on the car side is that Tesla was the first American car company to achieve volume production of a car in a hundred years, and not go bankrupt. So this is, basically, myself and many others at Tesla had to basically have several aneurysms to get this done. It was so hard, no idea. So anyway, and the thing about making a large, complex manufactured object is let’s say you have-"
"What Tesla achieved on the automotive side was not to create an electric car. The truly profound thing on the car side is that Tesla was the first American car company to achieve volume production of a car in a hundred years, and not go bankrupt. So this is, basically, myself and many others at Tesla had to basically have several aneurysms to get this done. It was so hard, no idea. So anyway, and the thing about making a large, complex manufactured object is let’s say you have-","The thing about making a large complex, main central object is let’s say you have trusts or approximation 10,000 unique items. If even one of those items is slow. That situate just one doesn’t matter, so trivial we’ve had production stuff because of carpet and the trunk. We have production stuff because a USB cable, at one point for wireless, we literally raided every electronics store in the bay area for, a few days there, nobody could buy a USB cable on the barrier because we, went and bought them all to put them in the car, literally. And there’s like hundreds of stories like that. So anyway, that’s the solving those constraints and, a logistics problem that makes world war II look trivial. I’m not kidding. Like the scale is insane, we told him no, he ends up cars, some massive global supply chain, 50 countries, dozens of regulatory regimes. It’s the same. So, yeah."
Thank you. Yeah. And last question from institutional investor is master plan of part two talks about an urban transport vehicle that is smaller than traditional bus with greater aerial density achieved by removing the central aisle. Do you have any updates to share on this goal?,Not at this time.
"Hi guys, Thanks for taking my question. I’d love to get back to you in a day from what you presented on the battery day in the last six, seven minutes. I wasn’t very how much progress you’ve made on that first in terms of process development. So how are things coming together on your pilot line? Are you getting into the kind of production which you are aiming for? And second is actually on your production ramp. So I was wondering in which sides you’re ramping production capacities also with office 680 sale and where you stand on ramping of that capacity as well. And I’ll have a quick photo on, and I’ll just use that specimen.","[inaudible 00:50:56] but we have the small sort of pallet plants, which is still big by normal standards, expect to have like a 10 gigawatt app for your capability and pretty much California. And were they quite a few cells? We’re not, quite yet at the point where we think cells are reliable enough to be shipped in cars, but we’re getting close to that point. And, and then we’ve already, ordered most of the equipment for battery production in Berlin and Austin as well."
"[inaudible 00:50:56] but we have the small sort of pallet plants, which is still big by normal standards, expect to have like a 10 gigawatt app for your capability and pretty much California. And were they quite a few cells? We’re not, quite yet at the point where we think cells are reliable enough to be shipped in cars, but we’re getting close to that point. And, and then we’ve already, ordered most of the equipment for battery production in Berlin and Austin as well.","So we’re, really down to like the nitty gritty elements, but overall, I think we’re still quite optimistic about achieving volume production of the 4680 next year. [crosstalk 00:52:11]."
"There’s one thing I would add is there’s been a lot of questions about yields. Actually. I noticed people asking about that and, the yield progress has been really strong every day. And we were really still in commissioning phase with most of the tools to the point where we’re confident that the yield trajectory aligns with our internal cost projections. We just talk about yield also at better days, because there’s other reasons why it’s useful to check in on that. It takes a while, as Elon just mentioned to go from a prototype to production, and it’s not just parts it’s processes, it’s equipment, but as we’ve matured so does the the process equipment we’ve, gotten to where we need to be on the yield side.","Yeah, basically this is just a guess, because we don’t know for sure, but it appears as though we are about 12 probably not more than 18 months away from volume production at the rate of 46 80. Now at the same time, we are actually trying to have our outsell supply of partners ramp up their supply as much as possible. So this is not something that is to the exclusion of suppliers. It is in conjunction with suppliers. So we’re super clear about that. This is not about replacing suppliers. It is about supplementing suppliers. So we have a very strong partnership with CATL with Panasonic and LG, our request to our strategic partners for sale supply is please supply with as much as you possibly can, provided the prices affordable. We will buy everything that they can make."
"Yeah. Yeah. And specific to that, we’re on track to more than double the supplier capacity over the next 13.","Yeah exactly, we do expect from suppliers to receive double sell output next year versus this year."
"Yeah. We’re, seeing a lot of [crosstalk 00:55:05].","We’re ending poker problem margins in storage as in, vehicle, but it is important. Bear in mind that vehicle is more mature than the storage. So we already are at good margins with the Power wall, but some additional work is needed, put a mega pack to achieve good margins pretty quick."
"Yeah. Sorry, just jumping in ELon. Absolutely agree, yeah. Power wall is mature. We’ve been producing power wall two for three years now and we’re at good margins there, but Mega pack has more room to go to achieve our targets.","We have, a clear runway for improving the customer, the megawatt hour, the mega pack."
"Hi everybody. I was hoping maybe you just first, you could talk a little bit about how you’re thinking about the rollout of version nine of SSD and the transition to the subscription model. It sounds like some, of this is about to roll out next month. I’m not sure if that’s a subscription model, but maybe you could just spend a little time talking about how impactful you expect that to be?","So I got, go ahead again. Yeah."
"Hi, good evening. Thanks, to two questions. One is on cogs. I think we’ve gotten from battery day a pretty good feel about the potential for cogs reduction related to powertrain, but I’d like to get a sense of the path to reducing cogs ex powertrain. Is it still need a meaningful reduction on that front to make the math work on a $25,000 vehicle? So what levers do you have to reducing your cost X powertrain? Is it just more scale, better supplier pricing, or is it just based on ongoing cost reduction?",I think all of the above.
"Great. And then just related, as BC Berlin and an Austin ramp, but I’d like to just get a sense on the comparison of Fremont versus the new capacity, obviously, Fremont non optimized, because you bought the old NUMMI facility you had to retrofit that to your need. So maybe you can give us a sense of how your new capacity is going to differ versus Fremont. What are the areas that you have efficiencies that you previously didn’t have and maybe, how much does that add up to improve cogs over time to help you achieve that $25,000 vehicle?","Yeah, we won’t talk too much about spiritual product development, conference calls are not, the right place to make major part announcements, but yeah, we’ll get there, but we’ll provide later."
"Oh, all right. Thank you very much. Unfortunately, this is all the time we have for today. Thank you very much for dialing in and for listening. And we’ll speak to you again in about three months. Thank you. Bye.",Thanks sir.
"Thank you, Sherry, and good afternoon, everyone. Welcome to Tesla’s fourth-quarter 2020 Q&A webcast. I’m joined today by Elon Musk, Zachary Kirkhorn and a number of other executives. Our Q4 results were announced at about 1:00 P.M. Pacific Time in the update deck we published at the same link as this webcast. During this call, we will discuss our business outlook and make forward-looking statements. These comments are based on our predictions and expectations as of today. Actual events or results could differ materially due to a number of risks and uncertainties, including those mentioned in our most recent filings with the SEC. During the question and answer portion of today’s call, please limit yourself to one question and one followup, and please press star-one now if you’d like to join the question queue. But before we jump into Q&A, Elon has some opening remarks. Elon?","Thank you. So just to recap the year. 2020 was a defining year for us on many levels. Despite a challenging environment, we reached an important milestone of producing and delivering 0.5 million cars. I’d just like to, once again, thank the people at Tesla for an incredible effort. We delivered almost as many cars last year as we produced in our entire history, so really an incredible growth rate and despite a very challenging 2020, so my hat is off to such hard work with such great people at Tesla."
"Thank you. So just to recap the year. 2020 was a defining year for us on many levels. Despite a challenging environment, we reached an important milestone of producing and delivering 0.5 million cars. I’d just like to, once again, thank the people at Tesla for an incredible effort. We delivered almost as many cars last year as we produced in our entire history, so really an incredible growth rate and despite a very challenging 2020, so my hat is off to such hard work with such great people at Tesla.","And full year, we achieved free cash flow of nearly $2.8 billion after spending more than $3 billion on building new factories and other expenditures. We reached industry-leading GAAP operating margins in addition to positive net income and record cash flow. Regarding capacity expansion, while we focus on execution, we continue to build a lot of new capacity. We started producing the model out of Fremont and have almost reached full production speed. We ramped the Model 3 in Shanghai to more than 5,000 cars a week sustainably, and Shanghai continues to grow rapidly. We introduced the heat pump to all of our vehicles. We started and we’re able to ramp to volume production at the single-piece castings for Model Y. This is where, for the first time in history, the entire rear third skeleton of the car is being cast as a single piece in the largest and most advanced casting machine ever made. We built a Model Y factory in China from start to finish in one year. We’re also building Giga Berlin and Giga Texas, which we expect to start production later this year. And lastly, we built a battery cell factory in the Bay Area."
"And full year, we achieved free cash flow of nearly $2.8 billion after spending more than $3 billion on building new factories and other expenditures. We reached industry-leading GAAP operating margins in addition to positive net income and record cash flow. Regarding capacity expansion, while we focus on execution, we continue to build a lot of new capacity. We started producing the model out of Fremont and have almost reached full production speed. We ramped the Model 3 in Shanghai to more than 5,000 cars a week sustainably, and Shanghai continues to grow rapidly. We introduced the heat pump to all of our vehicles. We started and we’re able to ramp to volume production at the single-piece castings for Model Y. This is where, for the first time in history, the entire rear third skeleton of the car is being cast as a single piece in the largest and most advanced casting machine ever made. We built a Model Y factory in China from start to finish in one year. We’re also building Giga Berlin and Giga Texas, which we expect to start production later this year. And lastly, we built a battery cell factory in the Bay Area.","And even though it is a pilot plant, its capacity is large enough that it would be probably the top 10 battery cell factories on earth despite being a pilot plant. Regarding the new Model S and X, we’re super excited to announce the new Model S and Model X pad are in production now and will be delivered in February. So we’ve been able to bring forward the pad Model S and X, and Model S will be delivered in February and Model X a little later. The Model S pad, and we’re actually in production now, and we’ll be delivering next month. So this is a tri motor Model S with a completely new interior. There are actually a lot of great things about this. I’ll do another call about the Model S later, but it’s really a tremendous improvement over the prior version."
"And even though it is a pilot plant, its capacity is large enough that it would be probably the top 10 battery cell factories on earth despite being a pilot plant. Regarding the new Model S and X, we’re super excited to announce the new Model S and Model X pad are in production now and will be delivered in February. So we’ve been able to bring forward the pad Model S and X, and Model S will be delivered in February and Model X a little later. The Model S pad, and we’re actually in production now, and we’ll be delivering next month. So this is a tri motor Model S with a completely new interior. There are actually a lot of great things about this. I’ll do another call about the Model S later, but it’s really a tremendous improvement over the prior version.","And the Model S pad will be the first production car ever that is able to go 0 to 60 miles an hour in under two seconds. So no production car ever has been able to get below two seconds zero to 60. This is a luxury stand that is able to go 0 to 60 in less than two seconds and will have the ability to seat up to seven people with the third row seats, so this is pretty nice. This is faster to be clear than any car. It’s not like there was a different type of car, like a two-door sports car that was able to do that. This is the fastest accelerating car ever made that is allowed to go on roads in history. And like I say, we’ll start delivering it in a matter of weeks. We’ll obviously get into the details what the Model S changes maybe later this week or next, but it’s really better in many ways."
"And the Model S pad will be the first production car ever that is able to go 0 to 60 miles an hour in under two seconds. So no production car ever has been able to get below two seconds zero to 60. This is a luxury stand that is able to go 0 to 60 in less than two seconds and will have the ability to seat up to seven people with the third row seats, so this is pretty nice. This is faster to be clear than any car. It’s not like there was a different type of car, like a two-door sports car that was able to do that. This is the fastest accelerating car ever made that is allowed to go on roads in history. And like I say, we’ll start delivering it in a matter of weeks. We’ll obviously get into the details what the Model S changes maybe later this week or next, but it’s really better in many ways.","We will be actually raising the price of Model S for these new models. If you have the old model, the new model will be $10,000 more, so hopefully people aren’t too upset if they bought the old model last month, but this one’s $10,000 more. So yeah, we think it’s probably the best car of any kind at any price available in the world today. So then with regard to full self-driving, we’ve made massive progress on Full Self-Driving. I recommend watching the videos of our public beta. So we’ve got, I think, almost 1,000 people in the beta at this point. And with each successful release of the beta FSD software, it’s really improving rapidly."
"We will be actually raising the price of Model S for these new models. If you have the old model, the new model will be $10,000 more, so hopefully people aren’t too upset if they bought the old model last month, but this one’s $10,000 more. So yeah, we think it’s probably the best car of any kind at any price available in the world today. So then with regard to full self-driving, we’ve made massive progress on Full Self-Driving. I recommend watching the videos of our public beta. So we’ve got, I think, almost 1,000 people in the beta at this point. And with each successful release of the beta FSD software, it’s really improving rapidly.","It’s not very common for … I drive the latest build. It’s very common for me to have no interventions on drives that I do, including drives to a place that I’ve never been to. So these are not preplanned routes. The car has never been there before, and it’s now actually more common than not for the car to have no interventions, even on a complex drive. Basically, I’m highly confident the car will drive itself for the reliability in excess of a human this year. This is a very big deal, and thinking about like how does one justify the value of the company being where it is? And I think there is a way, just with back of the on road map to potentially justify it, where if Tesla ships, let’s say, hypothetically, $50 billion or $60 billion worth of vehicles, and those vehicles become full self-driving and can be used as robotaxis, the utility increases from an average of 12 hours a week to potentially an average of 60 hours a week, if they’re capable of serving as robotaxi. So that’s like roughly a five times increase in utility."
"It’s not very common for … I drive the latest build. It’s very common for me to have no interventions on drives that I do, including drives to a place that I’ve never been to. So these are not preplanned routes. The car has never been there before, and it’s now actually more common than not for the car to have no interventions, even on a complex drive. Basically, I’m highly confident the car will drive itself for the reliability in excess of a human this year. This is a very big deal, and thinking about like how does one justify the value of the company being where it is? And I think there is a way, just with back of the on road map to potentially justify it, where if Tesla ships, let’s say, hypothetically, $50 billion or $60 billion worth of vehicles, and those vehicles become full self-driving and can be used as robotaxis, the utility increases from an average of 12 hours a week to potentially an average of 60 hours a week, if they’re capable of serving as robotaxi. So that’s like roughly a five times increase in utility.","But even if you say like, “Okay, let’s just assume that the car becomes twice as useful,” not five times as useful, but merely twice as useful, that would be a doubling again of the revenue of the company, which is almost entirely gross margin. So it would mean, it would be like if you made $50 billion worth of cars, it will be like having $50 million of incremental profit basically from that because it’s just software. If that’s the case, then you get 20 PE on that, it’s like $1 trillion and the company is still in high-growth mode. So I think there is a way to sort of like justify the valuation of the company where it is using just the cars and nothing else, the cars with FSD, and I suspect at least some number of investors are taking that approach."
"But even if you say like, “Okay, let’s just assume that the car becomes twice as useful,” not five times as useful, but merely twice as useful, that would be a doubling again of the revenue of the company, which is almost entirely gross margin. So it would mean, it would be like if you made $50 billion worth of cars, it will be like having $50 million of incremental profit basically from that because it’s just software. If that’s the case, then you get 20 PE on that, it’s like $1 trillion and the company is still in high-growth mode. So I think there is a way to sort of like justify the valuation of the company where it is using just the cars and nothing else, the cars with FSD, and I suspect at least some number of investors are taking that approach.","So in conclusion, while 2020 was a turning point for Tesla and in terms of profitability, we believe this is just the beginning. We think 2021 is going to be even more exciting, and you don’t know what to expect in a given year. Obviously, last year, we did not hear many things, we do not expect. But assume that ’21 is a relatively normal year from an external standpoint. I think it’s going to be a great year for Tesla. We’ve got many great new products coming out. We’ve got factories that are advanced factories out of [inaudible 00:09:54] production."
"So in conclusion, while 2020 was a turning point for Tesla and in terms of profitability, we believe this is just the beginning. We think 2021 is going to be even more exciting, and you don’t know what to expect in a given year. Obviously, last year, we did not hear many things, we do not expect. But assume that ’21 is a relatively normal year from an external standpoint. I think it’s going to be a great year for Tesla. We’ve got many great new products coming out. We’ve got factories that are advanced factories out of [inaudible 00:09:54] production.","It will also make it easier how you’re having a factory in Berlin, one, in Texas second, just from a logistics standpoint. Texas can help supply the eastern half of the U.S., and Berlin can help supply Europe. And there’s just pure cars on both, much less capital tied up with big cars that have been transported to customers. I think the fundamental efficiency of the company will be much better with the factories or at least having factories on each continent and having two factories in the U.S. So I’m super excited about the future, and yes, we look forward to making it happen. Thank you."
Thank you very much. And now we can jump straight into questions from Say Technologies. The first question from institutional investors is what is currently holding Tesla back from being the market share leader in solar?,"Yeah. So we’re actually seeing tremendous growth in solar quarter over quarter last year, and we had our best quarter since, I think, 2018 in Q4. So we do actually expect to become the market leader in solar and then go far beyond it. Unfortunately, there were a few years there where we had to devote the whole company to Model 3 production and building. We had to take the whole company, including a bunch of people that were on solar and had to work on cars, but now we’ve got a little more bandwidth, we’re putting a lot of attention on solar, and it is growing rapidly. So I think it will not be long before Tesla is by far the market leader in solar."
"And I think I mentioned, this is a really important part with industry-leading pricing to become the leader in this space.","Yeah. And actually, an important part is achieving better integration between the Tesla Powerwall and the Tesla Retrofit Solar and Tesla Roof. And we’re confident we’ll have excellent integration with the Powerwall and Tesla Solar whether it’s retrofit, or the [inaudible 00:16:30] Roof before the end of the year. So I think we’ve got a good strategy. As Zach mentioned, we’re focused on reducing the amount of time and the complexity of the install, and we’re making great progress in that regard. And I think we’ll have something that’s really dialed in this year."
"Thank you. The second question is, could current owners get ability to transfer their FSD to their next vehicle? This would be a huge for loyalty and overall increase sales of vehicles who are offering more FSD sales on use vehicles.","Unfortunately, we’re not considering that at this time. We do actually offer a higher price for a car with the FSD than the one without FSD. And I do think that the market currently undervalues… The consumer market, and arguably the stock market, does probably undervalue just how good FSD is going to be. But we’re not currently planning allowing it to get transferred."
Thank you.,We will be offering subscription pretty soon in the next month or two. So that should address a lot of people’s concerns for being able to get it.
"Thank you very much. And the third question is, can you give us a progress update on dry coating of the battery electrodes. At the Battery Day, Elon said, “I would not say this is completely in the bag, as yet as the yields were low.”",Andrew?
"Okay, thank you very much. The next question is why are you confident Tesla will achieve Level 5 autonomy in 2021? And why is Dojo not necessary to get there?","I guess I’m competence based on my understanding of the technical roadmap and the progress that we’re making between each beta iteration. Yeah. As I was saying, it’s not remarkable at all for the car to completely drive you from one location to another through a series of complex intersections. It’s now about just improving the corner case reliability and getting it to 99.9999% reliable, with respect to an accident. Basically, we need to get it to better than human by a factor of at least 100% or 200%. And this is happening rapidly because we’ve got so much training data with all the cars in the field. And the software is improving dramatically. We also write the software for [inaudible 00:20:47]. And I’ll say, it is quite challenging. We’re moving everything towards video labeling"
"I guess I’m competence based on my understanding of the technical roadmap and the progress that we’re making between each beta iteration. Yeah. As I was saying, it’s not remarkable at all for the car to completely drive you from one location to another through a series of complex intersections. It’s now about just improving the corner case reliability and getting it to 99.9999% reliable, with respect to an accident. Basically, we need to get it to better than human by a factor of at least 100% or 200%. And this is happening rapidly because we’ve got so much training data with all the cars in the field. And the software is improving dramatically. We also write the software for [inaudible 00:20:47]. And I’ll say, it is quite challenging. We’re moving everything towards video labeling","So all video labeling for video inference. And so there’s still a few of the neural nets that need to be upgraded to video training and video inference. And really, as we transition to each net to video, the performance has become exceptional. So this is a hard thing. The labeling software that we work for, video labeling, making that better has a huge effect on the efficiency of labeling. And then, of course, the Holy Grail is auto labeling. So we’re putting a lot of work into having the labeling tool be more efficient when used by a person, as well as enabling auto labeling, where we can. Dojo is a training supercomputer. We think it may be the best neural net training computer in the world by possibly an order of magnitude. So it is a whole thing in and of itself. And this is something we could offer potentially as a service. So some of the others need neural net training. We’re not trying to keep it to ourselves."
"So all video labeling for video inference. And so there’s still a few of the neural nets that need to be upgraded to video training and video inference. And really, as we transition to each net to video, the performance has become exceptional. So this is a hard thing. The labeling software that we work for, video labeling, making that better has a huge effect on the efficiency of labeling. And then, of course, the Holy Grail is auto labeling. So we’re putting a lot of work into having the labeling tool be more efficient when used by a person, as well as enabling auto labeling, where we can. Dojo is a training supercomputer. We think it may be the best neural net training computer in the world by possibly an order of magnitude. So it is a whole thing in and of itself. And this is something we could offer potentially as a service. So some of the others need neural net training. We’re not trying to keep it to ourselves.","So I think there could be a whole line of business in and of itself. And then, of course, for training vast amounts of video data, and getting the reliability from 100% to 200% better than an average human to 2,000% better than average human. So that will be very helpful in that regard."
Thank you. The next question is what is Tesla’s current gigawatt-hour run rate of of the 4680 cell production? How do you see these run rate evolving by mid-2021 or end of 2021?,"I think we kind of talked about that through. Essentially, what we’re saying is that the number to think about or focus on is we’ve got a 100 gigawatt-hour total that Tesla cells produced in 2022. It’s not that important to look at the run-up to that, because these things tend to improve exponentially. But we are installing capacity, in 2022, for 200 gigawatt hours a year, and we think probably we should be able to achieve 30% of targeted design capacity in 2022."
"Yeah. Yeah. Agreed, Elon. And as you’ve said before, with the S-Curve of production, you can be off a little bit on the initial part of the S-Curve, and that makes a difference in absolute capacity by quite a bit, one month to the next. So, yeah, we are progressing up that S-Curve as fast as we possibly can.",Yeah. And we don’t see any showstoppers.
"Thank you very much. And now let’s go to institutional investor questions. The question number one, what are the key milestones we need to achieve in order to evolve current FSD to a commercial Level 4, Level 5 ride sharing solution?","Yeah. So it really goes back to what I was saying a moment ago, which is, we need to transition over the neural nets in the car to a video. And in order to do that, the whole stack has to be changed to video. That means gathering video clips, then using… And this is actually surround video. So you’ve got eight cameras operating simultaneously with synchronized frame rates. So you’ve got basically eight camera around video. And then you’ve got to label basically everything in that video snippet, and then train against that, and then have those neural nets operate the car. And this is coming from the past where we would label… The neural nets would be a single camera, single frame. So no video, and not combining the cameras. And then we went from a single frame, one frame at a time, one camera at a time neural nets, to surround camera… Neural nets would look at all eight cameras, but only one frame at a time, and now to where we include the time dimension, and that’s video."
"Yeah. So it really goes back to what I was saying a moment ago, which is, we need to transition over the neural nets in the car to a video. And in order to do that, the whole stack has to be changed to video. That means gathering video clips, then using… And this is actually surround video. So you’ve got eight cameras operating simultaneously with synchronized frame rates. So you’ve got basically eight camera around video. And then you’ve got to label basically everything in that video snippet, and then train against that, and then have those neural nets operate the car. And this is coming from the past where we would label… The neural nets would be a single camera, single frame. So no video, and not combining the cameras. And then we went from a single frame, one frame at a time, one camera at a time neural nets, to surround camera… Neural nets would look at all eight cameras, but only one frame at a time, and now to where we include the time dimension, and that’s video.","So I really just see this as a question of getting the work done, we’re getting it done, and you can see the results in the rapidly improving FSD betas that are released. And we’re also going to be expanding the FSD beta itself to include more and more people. So from my standpoint, it looks like a very clear and obvious path towards a vehicle that will drive 100% safer than a person. Yeah. I really don’t see any obstacles here."
"Thank you. Thank you. And the second question from institutionals is, does Tesla plan or expect to license any of its software applications, FSD, and Autobidder in particular, to third-party OEMs?","I think we are very open to licensing our software to third parties. And we’ve had some preliminary discussions about licensing autopilots to other OEMs. So this is something we’re more than happy to do. But I think, obviously, we need to probably do a little bit more work to prove that Tesla autopilot is capable of full self-driving, which, like I said, I think will become obvious later this year. And then we’re more than happy to license that to other car companies. We’re definitely not trying to keep it to be a Tesla exclusive situation. And I think the probably same goes to Autobidder. We haven’t thought as much about Autobidder. But the Tesla philosophy is definitely not to create walled gardens. We’re going to allow other companies to our supercharger networks. And yeah, using our autonomy software and Autobidder, and perhaps other things, would be fine too."
"Thank you. The next question is, key differences in product customer preferences, FSD strategy between China and the rest of the world. Do we need to do things differently to win the Chinese EV markets?","Well, we are currently the leader in the Chinese EV market. So I think we must be doing something right if we’re the best selling electric car in China. That said, very few of our customers in China. I admit, maybe as low as one or 2%, actually have selected the FSD option. This is much lower than rest of the world. So we definitely need to make it work well in China. I think, some of it works well in China, then we will have a [inaudible 00:31:53] for FSD. I find the customers in China, Tesla owners in China, are among the most discerning in the world."
"Well, we are currently the leader in the Chinese EV market. So I think we must be doing something right if we’re the best selling electric car in China. That said, very few of our customers in China. I admit, maybe as low as one or 2%, actually have selected the FSD option. This is much lower than rest of the world. So we definitely need to make it work well in China. I think, some of it works well in China, then we will have a [inaudible 00:31:53] for FSD. I find the customers in China, Tesla owners in China, are among the most discerning in the world.","… in China are among the most discerning in the world. The attention to detail is incredible. I’m confident that they will buy [inaudible 00:32:14] worked in long term. And hopefully, that is later this year."
"Thank you. And the next question is, is it fair to argue that the best way to think about the company’s long-term earnings power is tied to profit per unit of battery capacity? Three terawatt hours targets from battery, they imply is half of long-term battery capacity goes through storage, depending on what you assume for Packsize on the Elon’s 20 million vehicle unit goals.","Yeah, it is. So, the fundamental limits on electric vehicles right now, in general, is availability of cells. What’s the output of battery cells in jiggawat hours, and you can’t grow faster than that. Now, at Tesla we’ve improved the efficiency of our product dramatically, such that you can actually get pretty good range, even with the standard range e-pack. It’s projected for model three, it’s approaching the high two hundreds. And, with some slight continued improvements, we’ll get to the 300 mile range to a standard pack, and [inaudible 00:33:34] 500 kilometers."
"Yeah, it is. So, the fundamental limits on electric vehicles right now, in general, is availability of cells. What’s the output of battery cells in jiggawat hours, and you can’t grow faster than that. Now, at Tesla we’ve improved the efficiency of our product dramatically, such that you can actually get pretty good range, even with the standard range e-pack. It’s projected for model three, it’s approaching the high two hundreds. And, with some slight continued improvements, we’ll get to the 300 mile range to a standard pack, and [inaudible 00:33:34] 500 kilometers.","So, the efficiency improvements in the car. But fundamentally the growth is dependent on cell production. And there’s actually a lot of other companies that want to, that have a need for cells. So, the reason Tesla is doing its own cell production is in order to accelerate the growth. It is not to make less use of our cell suppliers. In fact, I want to be really clear Tesla wants to increase purchases from cell suppliers. And we’ve been very clear with our cell suppliers, whether it be CATL, or Panasonic, or LG, that we will take as many batteries as they can produce."
"So, the efficiency improvements in the car. But fundamentally the growth is dependent on cell production. And there’s actually a lot of other companies that want to, that have a need for cells. So, the reason Tesla is doing its own cell production is in order to accelerate the growth. It is not to make less use of our cell suppliers. In fact, I want to be really clear Tesla wants to increase purchases from cell suppliers. And we’ve been very clear with our cell suppliers, whether it be CATL, or Panasonic, or LG, that we will take as many batteries as they can produce.","And we urge them to increase their production, and we will buy as much as they can send to us. Obviously, there are some price limits on that because the car still needs to be affordable. But I’m trying to be as clear as possible that our goal with making our own cells is not to disintermediate our suppliers, it is to supplement our suppliers. And we want to have suppliers of cells to increase their production, and in addition, have our production that is simply taking up the amount beyond which they are either unable or unwilling to increase their production."
"And we urge them to increase their production, and we will buy as much as they can send to us. Obviously, there are some price limits on that because the car still needs to be affordable. But I’m trying to be as clear as possible that our goal with making our own cells is not to disintermediate our suppliers, it is to supplement our suppliers. And we want to have suppliers of cells to increase their production, and in addition, have our production that is simply taking up the amount beyond which they are either unable or unwilling to increase their production.","So, it’s acceleration over and above what the most that our suppliers would say they can produce for us. And so, probably since the cell output drives vehicle output, then probably the broad brushstroke value of Tesla is just, what’s the set off of [inaudible 00:35:32] that vehicle output. And then, at least double that for autonomy revenue. Probably won’t’ level, and that’s how you figure out the value of the company in the long term."
"Thank you very much. The next question is about 46/80 cells, which we already covered in the retail section of this call. So, let’s go straight to the last question from Institutional Investors, which is, “Where are you in cyber truck development? What are your expectations for cyber truck deliveries in 2021?”","Right. So, we’re finished with the cyber truck engineering. So, we’re no longer iterating at the design center level or the line level. We’ve got design specs, we’re getting to order the equipment necessary to make the cyber truck work. We’re actually going to be using even bigger testing machines for the rear body of cyber truck, because you’ve got a bigger vehicle and you’ve got a long truck bed that’s going to split a lot of load."
"Right. So, we’re finished with the cyber truck engineering. So, we’re no longer iterating at the design center level or the line level. We’ve got design specs, we’re getting to order the equipment necessary to make the cyber truck work. We’re actually going to be using even bigger testing machines for the rear body of cyber truck, because you’ve got a bigger vehicle and you’ve got a long truck bed that’s going to split a lot of load.","So, we’ll be using an 8,000 tons casting press for the rear body casting as opposed to 6,000 tons for a Model Y. So, 6,000 tons was the biggest cast Tesla mold, 8,000 tons is quite a bit bigger than that. And I think it’s an incredible vehicle. If we get lucky, we’ll be able to do a few deliveries towards the end of this year. But I expect volume production to be in 2022."
"Thanks so much, guys. Can you talk a little bit about the regulatory environment for FST and how you’re seeing that play out? Obviously, it’s a bit of a moving target right now, and you guys are leading the way here, but we’d love to understand how those conversations are going and how you see that impacting the roll out of FST throughout the balance of this year and into next year.","Okay. Zach, do you want to [inaudible 00:37:56]?"
"Great, thanks. Was wondering, you mentioned how you’d like to increase your purchases of cells from suppliers. Does this require them to also have the capability to build structural 40/60/80 cells of the sort that you’re putting in these newer iterations of vehicles?","No, it does not. Although we are talking with them about making the 40/60/80 point factor, it is not required. For example, the new S Car B uses the 18650 form factor. So, that’s just a more advanced cell. And we think we’ll continue to use that form factor for at least a few years, but we will over time be retiring the form factors and trying to move to a consistent form factor. But it is not a requirement that we place on our suppliers, because it just results in fewer cells. So, it’s better for us to deal with the complexity of different cell form factors than insist on a single form factor for our suppliers today. Like I said, over time, it will make sense to have a consistent form factor."
